     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
   147  4.7998823826D-06  1.2785139180D-05 -1.9999520486D-03  3.4150154334D-03  6.5222856832D+00  4.0544421335D+01
   148  4.8097558956D-06  1.2814364104D-05 -2.0040660127D-03  3.4189163148D-03  6.5222856786D+00  4.0544421277D+01
   149  4.8196497189D-06  1.2843655833D-05 -2.0081884395D-03  3.4228216519D-03  6.5222856739D+00  4.0544421220D+01
   150  4.8295638942D-06  1.2873014519D-05 -2.0123193463D-03  3.4267314502D-03  6.5222856694D+00  4.0544421162D+01
   151  4.8394984632D-06  1.2902440312D-05 -2.0164587504D-03  3.4306457143D-03  6.5222856647D+00  4.0544421105D+01
   152  4.8494534679D-06  1.2931933370D-05 -2.0206066695D-03  3.4345644497D-03  6.5222856600D+00  4.0544421046D+01
   153  4.8594289503D-06  1.2961493844D-05 -2.0247631208D-03  3.4384876613D-03  6.5222856554D+00  4.0544420988D+01
   154  4.8694249524D-06  1.2991121889D-05 -2.0289281221D-03  3.4424153542D-03  6.5222856507D+00  4.0544420930D+01
   155  4.8794415171D-06  1.3020817659D-05 -2.0331016913D-03  3.4463475337D-03  6.5222856460D+00  4.0544420872D+01
   156  4.8894786858D-06  1.3050581309D-05 -2.0372838453D-03  3.4502842048D-03  6.5222856413D+00  4.0544420813D+01
   157  4.8995365014D-06  1.3080412995D-05 -2.0414746023D-03  3.4542253726D-03  6.5222856365D+00  4.0544420755D+01
   158  4.9096150062D-06  1.3110312872D-05 -2.0456739797D-03  3.4581710423D-03  6.5222856318D+00  4.0544420696D+01
   159  4.9197142431D-06  1.3140281096D-05 -2.0498819956D-03  3.4621212191D-03  6.5222856272D+00  4.0544420637D+01
   160  4.9298342541D-06  1.3170317822D-05 -2.0540986674D-03  3.4660759080D-03  6.5222856223D+00  4.0544420578D+01
   161  4.9399750824D-06  1.3200423207D-05 -2.0583240131D-03  3.4700351143D-03  6.5222856177D+00  4.0544420519D+01
   162  4.9501367709D-06  1.3230597409D-05 -2.0625580505D-03  3.4739988429D-03  6.5222856128D+00  4.0544420460D+01
   163  4.9603193619D-06  1.3260840584D-05 -2.0668007973D-03  3.4779670994D-03  6.5222856080D+00  4.0544420400D+01
   164  4.9705228992D-06  1.3291152891D-05 -2.0710522717D-03  3.4819398886D-03  6.5222856033D+00  4.0544420340D+01
   165  4.9807474254D-06  1.3321534488D-05 -2.0753124915D-03  3.4859172158D-03  6.5222855985D+00  4.0544420281D+01
   166  4.9909929837D-06  1.3351985532D-05 -2.0795814746D-03  3.4898990862D-03  6.5222855937D+00  4.0544420221D+01
   167  5.0012596176D-06  1.3382506183D-05 -2.0838592394D-03  3.4938855050D-03  6.5222855889D+00  4.0544420161D+01
   168  5.0115473703D-06  1.3413096600D-05 -2.0881458036D-03  3.4978764774D-03  6.5222855840D+00  4.0544420101D+01
   169  5.0218562850D-06  1.3443756940D-05 -2.0924411854D-03  3.5018720086D-03  6.5222855792D+00  4.0544420041D+01
   170  5.0321864055D-06  1.3474487368D-05 -2.0967454028D-03  3.5058721036D-03  6.5222855744D+00  4.0544419980D+01
   171  5.0425377756D-06  1.3505288039D-05 -2.1010584743D-03  3.5098767680D-03  6.5222855694D+00  4.0544419920D+01
   172  5.0529104388D-06  1.3536159117D-05 -2.1053804180D-03  3.5138860067D-03  6.5222855646D+00  4.0544419859D+01
   173  5.0633044389D-06  1.3567100760D-05 -2.1097112519D-03  3.5178998251D-03  6.5222855597D+00  4.0544419798D+01
