     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
   211  5.4745290993D-06  1.4796801093D-05 -2.2810548936D-03  3.6738706703D-03  6.5222853655D+00  4.0544417384D+01
   212  5.4857903826D-06  1.4830624377D-05 -2.2857470959D-03  3.6780672345D-03  6.5222853601D+00  4.0544417318D+01
   213  5.4970748307D-06  1.4864524975D-05 -2.2904489505D-03  3.6822685924D-03  6.5222853548D+00  4.0544417251D+01
   214  5.5083824910D-06  1.4898503065D-05 -2.2951604768D-03  3.6864747494D-03  6.5222853494D+00  4.0544417184D+01
   215  5.5197134118D-06  1.4932558823D-05 -2.2998816950D-03  3.6906857110D-03  6.5222853441D+00  4.0544417117D+01
   216  5.5310676408D-06  1.4966692429D-05 -2.3046126247D-03  3.6949014826D-03  6.5222853387D+00  4.0544417051D+01
   217  5.5424452254D-06  1.5000904058D-05 -2.3093532861D-03  3.6991220698D-03  6.5222853333D+00  4.0544416984D+01
   218  5.5538462145D-06  1.5035193891D-05 -2.3141036994D-03  3.7033474781D-03  6.5222853279D+00  4.0544416916D+01
   219  5.5652706555D-06  1.5069562104D-05 -2.3188638845D-03  3.7075777128D-03  6.5222853224D+00  4.0544416848D+01
   220  5.5767185970D-06  1.5104008878D-05 -2.3236338613D-03  3.7118127797D-03  6.5222853169D+00  4.0544416781D+01
   221  5.5881900873D-06  1.5138534393D-05 -2.3284136501D-03  3.7160526842D-03  6.5222853115D+00  4.0544416713D+01
   222  5.5996851750D-06  1.5173138828D-05 -2.3332032711D-03  3.7202974317D-03  6.5222853061D+00  4.0544416646D+01
   223  5.6112039081D-06  1.5207822363D-05 -2.3380027446D-03  3.7245470280D-03  6.5222853006D+00  4.0544416576D+01
   224  5.6227463358D-06  1.5242585179D-05 -2.3428120907D-03  3.7288014784D-03  6.5222852950D+00  4.0544416509D+01
   225  5.6343125067D-06  1.5277427458D-05 -2.3476313297D-03  3.7330607887D-03  6.5222852896D+00  4.0544416441D+01
   226  5.6459024697D-06  1.5312349382D-05 -2.3524604823D-03  3.7373249641D-03  6.5222852841D+00  4.0544416372D+01
   227  5.6575162734D-06  1.5347351131D-05 -2.3572995686D-03  3.7415940104D-03  6.5222852785D+00  4.0544416303D+01
   228  5.6691539670D-06  1.5382432890D-05 -2.3621486087D-03  3.7458679331D-03  6.5222852730D+00  4.0544416234D+01
   229  5.6808156000D-06  1.5417594840D-05 -2.3670076239D-03  3.7501467377D-03  6.5222852674D+00  4.0544416164D+01
   230  5.6925012213D-06  1.5452837165D-05 -2.3718766341D-03  3.7544304300D-03  6.5222852618D+00  4.0544416095D+01
   231  5.7042108801D-06  1.5488160048D-05 -2.3767556600D-03  3.7587190154D-03  6.5222852563D+00  4.0544416026D+01
   232  5.7159446262D-06  1.5523563675D-05 -2.3816447222D-03  3.7630124995D-03  6.5222852507D+00  4.0544415957D+01
   233  5.7277025088D-06  1.5559048229D-05 -2.3865438413D-03  3.7673108880D-03  6.5222852451D+00  4.0544415887D+01
   234  5.7394845780D-06  1.5594613895D-05 -2.3914530382D-03  3.7716141863D-03  6.5222852395D+00  4.0544415817D+01
   235  5.7512908833D-06  1.5630260859D-05 -2.3963723334D-03  3.7759224003D-03  6.5222852338D+00  4.0544415748D+01
   236  5.7631214745D-06  1.5665989308D-05 -2.4013017478D-03  3.7802355353D-03  6.5222852282D+00  4.0544415678D+01
   237  5.7749764014D-06  1.5701799426D-05 -2.4062413022D-03  3.7845535971D-03  6.5222852225D+00  4.0544415606D+01
   238  5.7868557144D-06  1.5737691399D-05 -2.4111910173D-03  3.7888765913D-03  6.5222852169D+00  4.0544415536D+01
   239  5.7987594636D-06  1.5773665418D-05 -2.4161509142D-03  3.7932045236D-03  6.5222852112D+00  4.0544415466D+01
   240  5.8106876991D-06  1.5809721666D-05 -2.4211210139D-03  3.7975373995D-03  6.5222852054D+00  4.0544415395D+01
   241  5.8226404716D-06  1.5845860335D-05 -2.4261013372D-03  3.8018752247D-03  6.5222851998D+00  4.0544415324D+01
   242  5.8346178312D-06  1.5882081610D-05 -2.4310919052D-03  3.8062180049D-03  6.5222851940D+00  4.0544415253D+01
   243  5.8466198283D-06  1.5918385682D-05 -2.4360927389D-03  3.8105657458D-03  6.5222851884D+00  4.0544415182D+01
   244  5.8586465142D-06  1.5954772741D-05 -2.4411038594D-03  3.8149184530D-03  6.5222851826D+00  4.0544415110D+01
   245  5.8706979396D-06  1.5991242974D-05 -2.4461252882D-03  3.8192761321D-03  6.5222851768D+00  4.0544415038D+01
   246  5.8827741549D-06  1.6027796573D-05 -2.4511570462D-03  3.8236387888D-03  6.5222851710D+00  4.0544414967D+01
   247  5.8948752114D-06  1.6064433727D-05 -2.4561991546D-03  3.8280064290D-03  6.5222851653D+00  4.0544414895D+01
   248  5.9070011601D-06  1.6101154630D-05 -2.4612516348D-03  3.8323790581D-03  6.5222851595D+00  4.0544414823D+01
   249  5.9191520523D-06  1.6137959471D-05 -2.4663145082D-03  3.8367566820D-03  6.5222851536D+00  4.0544414750D+01
   250  5.9313279393D-06  1.6174848441D-05 -2.4713877960D-03  3.8411393063D-03  6.5222851478D+00  4.0544414678D+01
   251  5.9435288724D-06  1.6211821734D-05 -2.4764715197D-03  3.8455269367D-03  6.5222851419D+00  4.0544414605D+01
   252  5.9557549032D-06  1.6248879544D-05 -2.4815657008D-03  3.8499195791D-03  6.5222851362D+00  4.0544414533D+01
   253  5.9680060836D-06  1.6286022061D-05 -2.4866703609D-03  3.8543172389D-03  6.5222851303D+00  4.0544414459D+01
   254  5.9802824649D-06  1.6323249481D-05 -2.4917855215D-03  3.8587199222D-03  6.5222851244D+00  4.0544414387D+01
   255  5.9925840990D-06  1.6360561997D-05 -2.4969112040D-03  3.8631276345D-03  6.5222851185D+00  4.0544414313D+01
   256  6.0049110381D-06  1.6397959803D-05 -2.5020474304D-03  3.8675403816D-03  6.5222851126D+00  4.0544414239D+01
   257  6.0172633341D-06  1.6435443096D-05 -2.5071942220D-03  3.8719581692D-03  6.5222851067D+00  4.0544414166D+01
   258  6.0296410392D-06  1.6473012070D-05 -2.5123516009D-03  3.8763810032D-03  6.5222851007D+00  4.0544414092D+01
   259  6.0420442056D-06  1.6510666921D-05 -2.5175195885D-03  3.8808088891D-03  6.5222850948D+00  4.0544414018D+01
   260  6.0544728858D-06  1.6548407845D-05 -2.5226982071D-03  3.8852418330D-03  6.5222850888D+00  4.0544413945D+01
   261  6.0669271320D-06  1.6586235039D-05 -2.5278874781D-03  3.8896798406D-03  6.5222850828D+00  4.0544413870D+01
   262  6.0794069973D-06  1.6624148700D-05 -2.5330874238D-03  3.8941229175D-03  6.5222850769D+00  4.0544413795D+01
   263  6.0919125339D-06  1.6662149027D-05 -2.5382980659D-03  3.8985710696D-03  6.5222850709D+00  4.0544413722D+01
   264  6.1044437946D-06  1.6700236217D-05 -2.5435194263D-03  3.9030243027D-03  6.5222850649D+00  4.0544413647D+01
   265  6.1170008328D-06  1.6738410468D-05 -2.5487515274D-03  3.9074826226D-03  6.5222850588D+00  4.0544413571D+01
   266  6.1295837013D-06  1.6776671980D-05 -2.5539943911D-03  3.9119460351D-03  6.5222850527D+00  4.0544413496D+01
   267  6.1421924529D-06  1.6815020951D-05 -2.5592480394D-03  3.9164145460D-03  6.5222850467D+00  4.0544413421D+01
   268  6.1548271413D-06  1.6853457584D-05 -2.5645124947D-03  3.9208881611D-03  6.5222850406D+00  4.0544413345D+01
   269  6.1674878193D-06  1.6891982076D-05 -2.5697877790D-03  3.9253668864D-03  6.5222850346D+00  4.0544413269D+01
   270  6.1801745412D-06  1.6930594629D-05 -2.5750739152D-03  3.9298507277D-03  6.5222850284D+00  4.0544413193D+01
   271  6.1928873598D-06  1.6969295446D-05 -2.5803709248D-03  3.9343396906D-03  6.5222850223D+00  4.0544413117D+01
   272  6.2056263291D-06  1.7008084726D-05 -2.5856788305D-03  3.9388337812D-03  6.5222850162D+00  4.0544413041D+01
   273  6.2183915031D-06  1.7046962673D-05 -2.5909976550D-03  3.9433330053D-03  6.5222850100D+00  4.0544412965D+01
   274  6.2311829352D-06  1.7085929488D-05 -2.5963274202D-03  3.9478373686D-03  6.5222850039D+00  4.0544412888D+01
   275  6.2440006797D-06  1.7124985377D-05 -2.6016681491D-03  3.9523468772D-03  6.5222849978D+00  4.0544412812D+01
   276  6.2568447909D-06  1.7164130540D-05 -2.6070198642D-03  3.9568615368D-03  6.5222849915D+00  4.0544412735D+01
   277  6.2697153228D-06  1.7203365185D-05 -2.6123825877D-03  3.9613813534D-03  6.5222849854D+00  4.0544412658D+01
   278  6.2826123297D-06  1.7242689514D-05 -2.6177563426D-03  3.9659063329D-03  6.5222849791D+00  4.0544412581D+01
   279  6.2955358662D-06  1.7282103732D-05 -2.6231411515D-03  3.9704364811D-03  6.5222849729D+00  4.0544412504D+01
   280  6.3084859869D-06  1.7321608044D-05 -2.6285370372D-03  3.9749718040D-03  6.5222849667D+00  4.0544412426D+01
   281  6.3214627464D-06  1.7361202659D-05 -2.6339440224D-03  3.9795123074D-03  6.5222849605D+00  4.0544412349D+01
   282  6.3344661996D-06  1.7400887781D-05 -2.6393621300D-03  3.9840579974D-03  6.5222849541D+00  4.0544412270D+01
   283  6.3474964011D-06  1.7440663616D-05 -2.6447913827D-03  3.9886088797D-03  6.5222849479D+00  4.0544412192D+01
   284  6.3605534064D-06  1.7480530373D-05 -2.6502318036D-03  3.9931649605D-03  6.5222849416D+00  4.0544412114D+01
   285  6.3736372701D-06  1.7520488260D-05 -2.6556834156D-03  3.9977262455D-03  6.5222849352D+00  4.0544412036D+01
   286  6.3867480480D-06  1.7560537484D-05 -2.6611462418D-03  4.0022927407D-03  6.5222849290D+00  4.0544411956D+01
   287  6.3998857950D-06  1.7600678255D-05 -2.6666203053D-03  4.0068644521D-03  6.5222849226D+00  4.0544411878D+01
   288  6.4130505669D-06  1.7640910782D-05 -2.6721056291D-03  4.0114413856D-03  6.5222849162D+00  4.0544411799D+01
   289  6.4262424189D-06  1.7681235274D-05 -2.6776022361D-03  4.0160235472D-03  6.5222849099D+00  4.0544411719D+01
   290  6.4394614074D-06  1.7721651943D-05 -2.6831101503D-03  4.0206109429D-03  6.5222849035D+00  4.0544411640D+01
   291  6.4527075876D-06  1.7762160997D-05 -2.6886293942D-03  4.0252035785D-03  6.5222848971D+00  4.0544411560D+01
   292  6.4659810153D-06  1.7802762649D-05 -2.6941599914D-03  4.0298014603D-03  6.5222848907D+00  4.0544411481D+01
   293  6.4792817472D-06  1.7843457110D-05 -2.6997019653D-03  4.0344045941D-03  6.5222848842D+00  4.0544411402D+01
   294  6.4926098391D-06  1.7884244592D-05 -2.7052553391D-03  4.0390129859D-03  6.5222848778D+00  4.0544411321D+01
   295  6.5059653474D-06  1.7925125310D-05 -2.7108201365D-03  4.0436266418D-03  6.5222848714D+00  4.0544411241D+01
   296  6.5193483282D-06  1.7966099474D-05 -2.7163963809D-03  4.0482455677D-03  6.5222848649D+00  4.0544411160D+01
   297  6.5327588385D-06  1.8007167299D-05 -2.7219840958D-03  4.0528697697D-03  6.5222848584D+00  4.0544411079D+01
   298  6.5461969344D-06  1.8048328998D-05 -2.7275833046D-03  4.0574992537D-03  6.5222848519D+00  4.0544410999D+01
   299  6.5596626729D-06  1.8089584787D-05 -2.7331940313D-03  4.0621340259D-03  6.5222848454D+00  4.0544410918D+01
   300  6.5731561110D-06  1.8130934881D-05 -2.7388162995D-03  4.0667740922D-03  6.5222848388D+00  4.0544410837D+01
   301  6.5866773054D-06  1.8172379495D-05 -2.7444501331D-03  4.0714194587D-03  6.5222848323D+00  4.0544410755D+01
   302  6.6002263134D-06  1.8213918845D-05 -2.7500955555D-03  4.0760701316D-03  6.5222848257D+00  4.0544410673D+01
   303  6.6138031923D-06  1.8255553148D-05 -2.7557525907D-03  4.0807261168D-03  6.5222848192D+00  4.0544410592D+01
   304  6.6274079991D-06  1.8297282620D-05 -2.7614212626D-03  4.0853874203D-03  6.5222848126D+00  4.0544410510D+01
   305  6.6410407914D-06  1.8339107480D-05 -2.7671015951D-03  4.0900540484D-03  6.5222848060D+00  4.0544410428D+01
   306  6.6547016268D-06  1.8381027945D-05 -2.7727936124D-03  4.0947260069D-03  6.5222847993D+00  4.0544410345D+01
   307  6.6683905632D-06  1.8423044234D-05 -2.7784973383D-03  4.0994033021D-03  6.5222847927D+00  4.0544410262D+01
   308  6.6821076579D-06  1.8465156566D-05 -2.7842127971D-03  4.1040859401D-03  6.5222847860D+00  4.0544410181D+01
   309  6.6958529691D-06  1.8507365160D-05 -2.7899400125D-03  4.1087739269D-03  6.5222847794D+00  4.0544410098D+01
   310  6.7096265550D-06  1.8549670238D-05 -2.7956790092D-03  4.1134672686D-03  6.5222847727D+00  4.0544410014D+01
   311  6.7234284738D-06  1.8592072017D-05 -2.8014298111D-03  4.1181659714D-03  6.5222847660D+00  4.0544409931D+01
   312  6.7372587834D-06  1.8634570722D-05 -2.8071924427D-03  4.1228700414D-03  6.5222847593D+00  4.0544409848D+01
   313  6.7511175423D-06  1.8677166572D-05 -2.8129669283D-03  4.1275794848D-03  6.5222847526D+00  4.0544409764D+01
   314  6.7650048090D-06  1.8719859789D-05 -2.8187532920D-03  4.1322943075D-03  6.5222847458D+00  4.0544409680D+01
   315  6.7789206426D-06  1.8762650596D-05 -2.8245515585D-03  4.1370145159D-03  6.5222847391D+00  4.0544409596D+01
   316  6.7928651013D-06  1.8805539218D-05 -2.8303617522D-03  4.1417401161D-03  6.5222847322D+00  4.0544409512D+01
   317  6.8068382442D-06  1.8848525876D-05 -2.8361838978D-03  4.1464711142D-03  6.5222847255D+00  4.0544409427D+01
   318  6.8208401304D-06  1.8891610795D-05 -2.8420180197D-03  4.1512075163D-03  6.5222847187D+00  4.0544409343D+01
   319  6.8348708190D-06  1.8934794200D-05 -2.8478641426D-03  4.1559493288D-03  6.5222847119D+00  4.0544409258D+01
   320  6.8489303691D-06  1.8978076315D-05 -2.8537222912D-03  4.1606965575D-03  6.5222847051D+00  4.0544409173D+01
   321  6.8630188401D-06  1.9021457367D-05 -2.8595924903D-03  4.1654492090D-03  6.5222846982D+00  4.0544409088D+01
   322  6.8771362917D-06  1.9064937582D-05 -2.8654747645D-03  4.1702072893D-03  6.5222846914D+00  4.0544409002D+01
   323  6.8912827830D-06  1.9108517185D-05 -2.8713691386D-03  4.1749708046D-03  6.5222846844D+00  4.0544408917D+01
   324  6.9054583743D-06  1.9152196406D-05 -2.8772756377D-03  4.1797397611D-03  6.5222846775D+00  4.0544408831D+01
   325  6.9196631253D-06  1.9195975470D-05 -2.8831942868D-03  4.1845141651D-03  6.5222846706D+00  4.0544408745D+01
   326  6.9338970960D-06  1.9239854607D-05 -2.8891251107D-03  4.1892940228D-03  6.5222846637D+00  4.0544408659D+01
   327  6.9481603464D-06  1.9283834044D-05 -2.8950681346D-03  4.1940793403D-03  6.5222846567D+00  4.0544408573D+01
   328  6.9624529365D-06  1.9327914013D-05 -2.9010233832D-03  4.1988701238D-03  6.5222846498D+00  4.0544408486D+01
   329  6.9767749272D-06  1.9372094742D-05 -2.9069908823D-03  4.2036663799D-03  6.5222846428D+00  4.0544408399D+01
   330  6.9911263785D-06  1.9416376460D-05 -2.9129706564D-03  4.2084681146D-03  6.5222846358D+00  4.0544408312D+01
   331  7.0055073513D-06  1.9460759401D-05 -2.9189627314D-03  4.2132753340D-03  6.5222846288D+00  4.0544408226D+01
   332  7.0199179065D-06  1.9505243794D-05 -2.9249671324D-03  4.2180880448D-03  6.5222846217D+00  4.0544408138D+01
   333  7.0343581044D-06  1.9549829871D-05 -2.9309838845D-03  4.2229062528D-03  6.5222846148D+00  4.0544408051D+01
   334  7.0488280062D-06  1.9594517866D-05 -2.9370130130D-03  4.2277299646D-03  6.5222846077D+00  4.0544407962D+01
   335  7.0633276731D-06  1.9639308010D-05 -2.9430545439D-03  4.2325591864D-03  6.5222846006D+00  4.0544407875D+01
   336  7.0778571663D-06  1.9684200538D-05 -2.9491085024D-03  4.2373939244D-03  6.5222845935D+00  4.0544407786D+01
   337  7.0924165473D-06  1.9729195684D-05 -2.9551749141D-03  4.2422341850D-03  6.5222845864D+00  4.0544407697D+01
   338  7.1070058770D-06  1.9774293683D-05 -2.9612538045D-03  4.2470799746D-03  6.5222845793D+00  4.0544407610D+01
   339  7.1216252178D-06  1.9819494768D-05 -2.9673451996D-03  4.2519312993D-03  6.5222845721D+00  4.0544407520D+01
   340  7.1362746309D-06  1.9864799175D-05 -2.9734491250D-03  4.2567881656D-03  6.5222845650D+00  4.0544407432D+01
   341  7.1509541784D-06  1.9910207143D-05 -2.9795656061D-03  4.2616505796D-03  6.5222845578D+00  4.0544407343D+01
   342  7.1656639221D-06  1.9955718906D-05 -2.9856946690D-03  4.2665185479D-03  6.5222845507D+00  4.0544407253D+01
   343  7.1804039244D-06  2.0001334702D-05 -2.9918363397D-03  4.2713920768D-03  6.5222845435D+00  4.0544407164D+01
   344  7.1951742471D-06  2.0047054769D-05 -2.9979906441D-03  4.2762711725D-03  6.5222845362D+00  4.0544407074D+01
   345  7.2099749532D-06  2.0092879345D-05 -3.0041576081D-03  4.2811558415D-03  6.5222845289D+00  4.0544406984D+01
   346  7.2248061045D-06  2.0138808669D-05 -3.0103372578D-03  4.2860460901D-03  6.5222845217D+00  4.0544406893D+01
   347  7.2396677640D-06  2.0184842980D-05 -3.0165296190D-03  4.2909419247D-03  6.5222845145D+00  4.0544406803D+01
   348  7.2545599947D-06  2.0230982520D-05 -3.0227347184D-03  4.2958433517D-03  6.5222845071D+00  4.0544406712D+01
   349  7.2694828587D-06  2.0277227527D-05 -3.0289525815D-03  4.3007503774D-03  6.5222844998D+00  4.0544406622D+01
   350  7.2844364199D-06  2.0323578243D-05 -3.0351832354D-03  4.3056630082D-03  6.5222844925D+00  4.0544406531D+01
   351  7.2994207410D-06  2.0370034910D-05 -3.0414267059D-03  4.3105812506D-03  6.5222844851D+00  4.0544406440D+01
   352  7.3144358853D-06  2.0416597771D-05 -3.0476830193D-03  4.3155051110D-03  6.5222844778D+00  4.0544406348D+01
   353  7.3294819161D-06  2.0463267066D-05 -3.0539522020D-03  4.3204345958D-03  6.5222844705D+00  4.0544406257D+01
   354  7.3445588973D-06  2.0510043041D-05 -3.0602342808D-03  4.3253697113D-03  6.5222844630D+00  4.0544406165D+01
   355  7.3596668922D-06  2.0556925939D-05 -3.0665292821D-03  4.3303104642D-03  6.5222844557D+00  4.0544406073D+01
   356  7.3748059647D-06  2.0603916004D-05 -3.0728372324D-03  4.3352568606D-03  6.5222844482D+00  4.0544405981D+01
   357  7.3899761790D-06  2.0651013481D-05 -3.0791581584D-03  4.3402089072D-03  6.5222844408D+00  4.0544405887D+01
   358  7.4051775987D-06  2.0698218616D-05 -3.0854920867D-03  4.3451666104D-03  6.5222844333D+00  4.0544405795D+01
   359  7.4204102883D-06  2.0745531654D-05 -3.0918390441D-03  4.3501299766D-03  6.5222844258D+00  4.0544405702D+01
   360  7.4356743117D-06  2.0792952843D-05 -3.0981990575D-03  4.3550990124D-03  6.5222844184D+00  4.0544405609D+01
   361  7.4509697340D-06  2.0840482430D-05 -3.1045721536D-03  4.3600737241D-03  6.5222844108D+00  4.0544405516D+01
   362  7.4662966197D-06  2.0888120663D-05 -3.1109583594D-03  4.3650541183D-03  6.5222844034D+00  4.0544405422D+01
   363  7.4816550330D-06  2.0935867788D-05 -3.1173577017D-03  4.3700402014D-03  6.5222843958D+00  4.0544405328D+01
   364  7.4970450390D-06  2.0983724057D-05 -3.1237702079D-03  4.3750319800D-03  6.5222843882D+00  4.0544405235D+01
   365  7.5124667028D-06  2.1031689719D-05 -3.1301959046D-03  4.3800294605D-03  6.5222843806D+00  4.0544405141D+01
   366  7.5279200895D-06  2.1079765022D-05 -3.1366348195D-03  4.3850326495D-03  6.5222843731D+00  4.0544405046D+01
   367  7.5434052645D-06  2.1127950218D-05 -3.1430869792D-03  4.3900415536D-03  6.5222843655D+00  4.0544404951D+01
   368  7.5589222926D-06  2.1176245558D-05 -3.1495524114D-03  4.3950561791D-03  6.5222843578D+00  4.0544404856D+01
   369  7.5744712401D-06  2.1224651295D-05 -3.1560311430D-03  4.4000765327D-03  6.5222843502D+00  4.0544404761D+01
   370  7.5900521721D-06  2.1273167679D-05 -3.1625232017D-03  4.4051026210D-03  6.5222843425D+00  4.0544404666D+01
   371  7.6056651546D-06  2.1321794965D-05 -3.1690286149D-03  4.4101344504D-03  6.5222843348D+00  4.0544404571D+01
   372  7.6213102536D-06  2.1370533406D-05 -3.1755474097D-03  4.4151720275D-03  6.5222843271D+00  4.0544404474D+01
   373  7.6369875351D-06  2.1419383254D-05 -3.1820796141D-03  4.4202153588D-03  6.5222843194D+00  4.0544404379D+01
   374  7.6526970651D-06  2.1468344767D-05 -3.1886252554D-03  4.4252644510D-03  6.5222843117D+00  4.0544404283D+01
   375  7.6684389102D-06  2.1517418198D-05 -3.1951843613D-03  4.4303193107D-03  6.5222843039D+00  4.0544404187D+01
   376  7.6842131367D-06  2.1566603803D-05 -3.2017569595D-03  4.4353799443D-03  6.5222842962D+00  4.0544404090D+01
   377  7.7000198115D-06  2.1615901839D-05 -3.2083430778D-03  4.4404463585D-03  6.5222842884D+00  4.0544403993D+01
   378  7.7158590009D-06  2.1665312564D-05 -3.2149427439D-03  4.4455185601D-03  6.5222842806D+00  4.0544403895D+01
   379  7.7317307721D-06  2.1714836234D-05 -3.2215559858D-03  4.4505965554D-03  6.5222842728D+00  4.0544403799D+01
   380  7.7476351923D-06  2.1764473107D-05 -3.2281828314D-03  4.4556803512D-03  6.5222842649D+00  4.0544403701D+01
   381  7.7635723281D-06  2.1814223443D-05 -3.2348233087D-03  4.4607699539D-03  6.5222842570D+00  4.0544403603D+01
   382  7.7795422470D-06  2.1864087501D-05 -3.2414774455D-03  4.4658653704D-03  6.5222842492D+00  4.0544403505D+01
   383  7.7955450168D-06  2.1914065541D-05 -3.2481452701D-03  4.4709666074D-03  6.5222842413D+00  4.0544403408D+01
   384  7.8115807047D-06  2.1964157822D-05 -3.2548268109D-03  4.4760736713D-03  6.5222842333D+00  4.0544403309D+01
   385  7.8276493788D-06  2.2014364607D-05 -3.2615220957D-03  4.4811865688D-03  6.5222842254D+00  4.0544403211D+01
   386  7.8437511063D-06  2.2064686157D-05 -3.2682311527D-03  4.4863053066D-03  6.5222842174D+00  4.0544403112D+01
